timestamp,eye_aspect_ratio,mouth_aspect_ratio,movement,blink_rate,neutral,happy,surprised,focused,distracted,fatigued
2024-10-23 09:31:51,1.7577909268522018,0.9140688694302372,353.3354279064006,0,0,0.0,0,0,0,0
2024-10-23 09:31:53,1.6979418798235002,0.8974244500170364,1768.2739483351286,0,0,0.0,0,0,0,0
2024-10-23 09:31:55,1.7531797773761741,0.9172924095623124,474.9217661330046,0,0,0.0,0,0,0,0
2024-10-23 09:31:57,1.799186973487541,0.9071114128727891,9813.693387840383,0,0,0.0,0,0,0,0
2024-10-23 09:31:59,1.6956423238686973,0.956123545566863,3222.776062911026,0,0,0.0,0,0,0,0
2024-10-23 09:32:01,1.5853049156435393,0.9022439731069996,3151.472865453986,0,0,0.0,0,0,0,0
2024-10-23 09:32:03,1.7303286239238334,0.932899384587322,1768.0216263763664,0,0,0.0,0,0,0,0
2024-10-23 09:32:06,1.6183223589353561,1.1142710398893088,2667.7394953099374,0,0,0.0,0,0,0,0
2024-10-23 09:32:08,1.545141666269882,1.0551120232759659,904.2971743397034,0,0,0.0,0,0,0,0
2024-10-23 09:32:10,1.6303890588513752,1.056285581123624,2763.93093812128,0,0,0.0,0,0,0,0
2024-10-23 09:32:12,1.4768049596617323,1.068385906315416,1371.85578713593,0,0,0.0,0,0,0,0
2024-10-23 09:32:14,1.5302067325635789,1.2136478536072273,3231.012647615386,0,0,0.0,0,0,0,0
2024-10-23 09:32:16,1.9161059849571742,0.8048774646798064,4182.808778797958,0,0,0.0,0,0,0,0
2024-10-23 09:32:18,1.7948159732172948,0.8510919720979664,3373.108639134766,0,0,0.0,0,0,0,0
2024-10-23 09:32:20,1.7607481743578863,0.9087149413220691,2422.5988778098354,0,0,0.0,0,0,0,0
2024-10-23 09:32:22,1.745761687161307,0.8112103011978142,2684.8564362040647,0,0,0.0,0,0,0,0
2024-10-23 09:32:24,1.7655473040018632,0.856521616140805,9898.223355621307,0,0,0.0,0,0,0,0
2024-10-23 09:32:26,1.7267180192333165,1.0834936628431833,2441.9039191925344,0,0,0.0,0,0,0,0
2024-10-23 09:32:28,1.7720289814425558,0.9068533350567269,1823.303777532449,0,0,0.0,0,0,0,0
2024-10-23 09:32:30,1.8090218421539888,0.9437749847882703,800.5980890071176,0,0,0.0,0,0,0,0
2024-10-23 09:32:32,1.791634914637002,0.9593514955835669,2010.2177627489525,0,0,0.0,0,0,0,0
