timestamp,eye_openness,blink_rate,mouth_openness,mouth_movement,head_movement
2024-10-28 13:31:47,1.7800933627968079,0,0.8831113419684936,0,0
2024-10-28 13:31:49,1.7053483631901447,0,0.929108775466876,0.04599743349838237,16493.954864598894
2024-10-28 13:31:51,1.6655510558371098,0,0.9327401685723251,0.003631393105449132,1302.8016828064365
2024-10-28 13:31:53,1.6614984846597323,0,1.0153438131192263,0.08260364454690117,1639.3441395701966
2024-10-28 13:31:55,1.6703381920882174,0,0.9160773624453986,0.09926645067382767,2910.6724684038504
2024-10-28 13:31:57,1.6720080048473145,0,0.9342534510757439,0.018176088630345255,886.7866778322601
2024-10-28 13:31:59,1.712047999328081,0,1.0135182705803598,0.07926481950461595,1633.927008642095
2024-10-28 13:32:01,1.7313245055997935,0,1.0281138257086135,0.014595555128253723,1957.451112130852
2024-10-28 13:32:03,1.7030335419604306,0,0.9058206705732234,0.12229315513539019,1475.2932291439292
2024-10-28 13:32:05,1.7043153671724316,0,0.9170033378012674,0.011182667228044063,1313.4855842581485
2024-10-28 13:32:07,1.6821457802611588,0,0.9124008223635357,0.0046025154377317135,1162.378061515212
