timestamp,eye_openness,blink_rate,mouth_openness,mouth_movement,head_movement,eye_movement_x,eye_movement_y,shoulder_movement,arm_movement,upper_body_rotation,left_arm_angle,right_arm_angle
2024-11-11 15:33:08,1.5397530872241583,0,0.8363145077095668,0,329463.18642770394,0.06906378981508696,0.006517019063951746,0,0,0,0,0
2024-11-11 15:33:10,1.483975669322042,0,0.9567717906898138,0.12045728298024694,26182.075886907158,0.029535941848020237,-0.028744942988079614,16.810249675906654,199.94988240490073,0.021187082301257185,75.92182912921606,78.45855505024596
2024-11-11 15:33:12,1.486880421047054,0,0.918650369300258,0.038121421389555765,1166.8774347080887,0.03554741184326081,-0.06349757914561556,86.80868623873867,145.8815329627137,0.02421124946553353,117.5344250414903,91.73411132683324
2024-11-11 15:33:14,1.4667749200310796,0,0.9016301612986418,0.01702020800161619,5803.867223030145,0.05599374018579154,-0.03286236874830775,21.02731788359373,129.6157575454212,0.07924007029956738,123.96321676833419,79.92313326321775
2024-11-11 15:33:16,1.515957185387605,0,0.9209010861763512,0.019270924877709428,5915.078163843373,0.060109007397244195,-0.3419114920976954,7.6212327846342935,329.28524963806944,0.05011948167496776,85.42888351976394,144.8426565472524
2024-11-11 15:33:18,1.492732768675389,0,0.8925757987798972,0.028325287396454013,6097.130231503416,0.04992479006671816,-0.10297702032106429,8.06225774829855,135.61525977703076,0.031155119632451097,24.1075549081001,11.27134366548937
2024-11-11 15:33:20,1.4969716906512625,0,1.0186018623829336,0.12602606360303636,3306.688166719962,-0.012295018510444598,0.10420038997510989,5.23606797749979,301.7091018799857,0.11407626319187747,166.4993711194269,169.11597903654211
2024-11-11 15:33:22,1.4781844252889291,0,0.9099112352790502,0.10869062710388344,2085.0158272920553,-0.024718869184457884,0.04497884522895677,4.242640687119286,45.585607692337334,0.06792479240776361,165.47765316374617,156.42084584031048
2024-11-11 15:33:24,1.5145621638480369,0,0.9062261886021431,0.0036850466769070556,995.4777079430946,0.0606928946839757,-0.17793225240040178,9.0,26.469943879392286,0.05342134788165576,163.14964261298215,179.7282441698748
2024-11-11 15:33:26,1.5221632465850932,0,0.8947739804285796,0.011452208173563516,1892.5719231786472,0.035711162870749075,-0.08222751547091842,1.0,235.8384926142274,0.035457161005556966,78.2313915902932,59.7671317881601
